termDisplayName,termName,termQualifier,termStatus,termType,termFlag,historicalStatus,termLanguage,termPrefForLang,termSource,termSourceDetail,termSourceID,termSourceNote,publishTo,materialCompositionFamilyName,materialCompositionClassName,materialCompositionGenericName,description,typicalUse,discontinued,discontinuedBy,discontinuedDate,productionDate,productionNote,materialProductionOrganization,materialProductionOrganizationRole,materialProductionPerson,materialProductionPersonRole,materialProductionPlace,materialProductionPlaceRole,featuredApplication,featuredApplicationNote,materialCitationSource,materialCitationSourceDetail,externalUrl,externalUrlNote,additionalResource,additionalResourceNote,materialTermAttributionContributingOrganization,materialTermAttributionContributingPerson,materialTermAttributionContributingNote,materialTermAttributionContributingDate,materialTermAttributionEditingOrganization,materialTermAttributionEditingPerson,materialTermAttributionEditingNote,materialTermAttributionEditingDate,commonForm,formType,typicalSize,dimension,measurementUnit,value,formNote,acousticalPropertyType,acousticalPropertyNote,durabilityPropertyType,durabilityPropertyNote,electricalPropertyType,electricalPropertyNote,hygrothermalPropertyType,hygrothermalPropertyNote,mechanicalPropertyType,mechanicalPropertyNote,opticalPropertyType,opticalPropertyNote,sensorialPropertyType,sensorialPropertyNote,smartMaterialPropertyType,smartMaterialPropertyNote,additionalPropertyType,additionalPropertyNote,propertyNote,recycledContent,recycledContentHigh,recycledContentQualifier,lifecycleComponent,lifecycleComponentNote,embodiedEnergyValue,embodiedEnergyValueHigh,embodiedEnergyUnit,embodiedEnergyNote,certificationProgram,certificationCreditNote,ecologyNote,castingProcess,deformingProcess,joiningProcess,machiningProcess,moldingProcess,rapidPrototypingProcess,surfacingProcess,additionalProcess,additionalProcessNote,processNote
Plasti-Paste,Plasti-Paste,Term qualifier text,provisional,descriptor,abbreviation,current,ara,TRUE,Book One,Page 1,123456,Term source note text,dpla; omeka,biocomposite; biocomposite,animal; plant,eggshell; cotton,Description text,packaging; paving,yes,Museum of the Moving Image,1/1/2000,1/1/1995,Production note text,Robbins Music Corporation; Admiral Corporation,distributor; manufacturer,Joaquin Celestino; Rico Galindez,distributor; manufacturer,New York; New Hampshire,origin; distributor,Work 1; Work 11,Featured application note text 1; Featured application note text 2,Book 1; Book 11,Source detail text 1; Source detail text 2,www.test.example; www.test2.example,External URL note 1; External URL note 2,CSI; Granta,External standard note 1; External standard note 2,Universite libre de Bruxelles; Jewish Women's Archive,David Cornwell; Touko Laaksonen,Term creator note text 1; Term creator note text 2,1/1/2000; 1/1/2000,American Alliance of Museums; Morgan Library and Museum,Rosemarie Langager; Conni Julson,Term editor note text 1; Term editor note text 2,1/1/2001; 1/1/2002,aggregate,block; cord,small,length; width,inches; inches,2;4,Form note text,sound_absorption_reflective; sound_absorption_neutral,Acoustical property note text 1; Acoustical property note text 2,abrasion_resistant; heat_resistant,Durability property note text 1; Durability property note text 2,anti_static; electrical_resistivity_insulator,Electrical property note text 1; Electrical property text note 2,emissivity; porosity,Hygro-thermal property note text 1; Hygro-thermal property note text 2,density; tensile_strength,Mechanical property note text 1; Mechanical property note text 2,iridescent; prismatic,Optical property note text 1; Optical property note text 2,vision_colorfulness_low; taste_bitter,Sensorial property note text 1; Sensorial property note 2,dichroic; photovoltaic,Smart material property note text 1; Smart material property note text 2,acoustic; elastic,Additional property note text 1; Additional property note text 2,Property note text,10; 20,20;30,Post-consumer; Post industrial,biodegradable; recyclable,Lifecycle component note text 1; Lifecycle component note text 2,1; 2,2; 3,MJ_per_kg; tCO2,Embodied energy note text 1; Embodied energy note text 2,LEED; LEED,Certification credit note text 1; Certification credit note text 2,Material ecology note text,floating; slumping,aeration; melting,felting; bonding,milling; grinding,blow_molding; injection_molding,printing; weaving_3d,acid_washing; etching,acetylation; firing,Additional process note text 1; Additional process note text 2,Process note text
duoMatrix,duoMatrix,Term qualifier text,under review,alternate descriptor,commercial,historical,zho,FALSE,Book Two,Page 2,456789,Term source note text,cultureobject,biocomposite,animal,wool,Description text,paving,no,Phoebe A. Hearst Museum of Anthropology,,1/1/1996,Production note text,Admiral Corporation,manufacturer,Rico Galindez,manufacturer,Georgia,distributor,Work 2,Featured application note text,Book 2,Source detail text,www.test.example,External URL note,CSI,External standard note,"Blithewold Mansion, Gardens, and Arboretum",Charles Edouard Jeanneret,Term creator note text,1/1/2001,Morgan Library and Museum,Ingbertine Nicolaysen,Term editor note text,1/1/2003,angle,film,medium,length,feet,1,Form note text,sound_absorption_neutral,Acoustical property note text,dimensionally_stable,Durability property note text,electrical_resistivity_conductor,Electrical property note text,water_absorption,Hygro-thermal property note text,compressive_strength,Mechanical property note text,light_diffusing,Optical property note text,taste_bitter,Sensorial property note text,photocatalytic,Smart material property note text,ductile,Additional property note text,Property note text,20,30,Post industrial,landfillable,Lifecycle component note text,2,3,tCO2,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,slumping,corrugating,nonwoven,drilling,compression_molding,vacuum_deposition,coating,casting,Additional process note text,Process note text
FlexFoam,FlexFoam,Term qualifier text,accepted,used for term,common,both,eng,TRUE,Book Three,Page 3,321654,Term source note text,dpla,biocomposite,plant,cotton,Description text,roofing,yes,"University of California, Berkeley",1/1/2001,1/1/1997,Production note text,Paramount Pictures,origin,Oliverio Valentino,origin,North Carolina,manufacturer,Work 3,Featured application note text,Book 3,Source detail text,www.test.example,External URL note,Granta,External standard note,Jewish Women's Archive,Domeniko Theotokopulos,Term creator note text,1/1/2002,Gemeentemuseum den Haag,Ailiyah Jespersen,Term editor note text,1/1/2004,bar,block,large,width,inches,2,Form note text,sound_absorption_absorbent,Acoustical property note text,fade_resistant,Durability property note text,electrical_resistivity_semiconductor,Electrical property note text,porosity,Hygro-thermal property note text,tensile_strength,Mechanical property note text,light_emitting,Optical property note text,touch_lightweight,Sensorial property note text,photochromatic,Smart material property note text,elastic,Additional property note text,Property note text,30,40,Post-consumer,recyclable,Lifecycle component note text,3,4,MJ_per_kg,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,investment_casting,melting,bonding,grinding,injection_molding,weaving_3d,etching,firing,Additional process note text,Process note text
Feather Lite,Feather Lite,Term qualifier text,rejected,descriptor,scientific,unknown,fra,FALSE,Book Four,Page 4,654978,Term source note text,materialorder,biocomposite,plant,bamboo,Description text,shingling,no,Walker Art Center,,1/1/1998,Production note text,Eaves Costume Company,distributor,Gabriel Solares,distributor,South Carolina,origin,Work 4,Featured application note text,Book 4,Source detail text,www.test.example,External URL note,CSI,External standard note,Tridentino Museo di Scienze Naturali,Touko Laaksonen,Term creator note text,1/1/2003,Durst Organization,Conni Julson,Term editor note text,1/1/2005,aggregate,cord,small,length,centimeters,3,Form note text,sound_absorption_reflective,Acoustical property note text,heat_resistant,Durability property note text,electrical_resistivity_insulator,Electrical property note text,emissivity,Hygro-thermal property note text,density,Mechanical property note text,prismatic,Optical property note text,smell_odorous,Sensorial property note text,photovoltaic,Smart material property note text,hydrophilic,Additional property note text,Property note text,40,50,Post industrial,biodegradable,Lifecycle component note text,4,5,tCO3,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,floating,aeration,felting,milling,blow_molding,printing,acid_washing,acetylation,Additional process note text,Process note text
Smooth-Cast,Smooth-Cast,Term qualifier text,provisional,alternate descriptor,scientific,current,deu,TRUE,Book Five,Page 5,147852,Term source note text,none,ceramic,glass,glass fibers,Description text,sound-control,yes,Litchfield Historical Society,1/1/2002,1/1/1999,Production note text,John Brown Company,manufacturer,Turi Berrones,manufacturer,Ohio,distributor,Work 5,Featured application note text,Book 5,Source detail text,www.test.example,External URL note,Granta,External standard note,San Francisco Museum of Modern Art,Bjørn Nørgaard,Term creator note text,1/1/2004,Princeton University Art Museum,Davina Haugan,Term editor note text,1/1/2006,angle,film,medium,width,feet,4,Form note text,sound_absorption_neutral,Acoustical property note text,dimensionally_stable,Durability property note text,anti_static,Electrical property note text,water_absorption,Hygro-thermal property note text,compressive_strength,Mechanical property note text,iridescent,Optical property note text,vision_colorfulness_low,Sensorial property note text,dichroic,Smart material property note text,acoustic,Additional property note text,Property note text,50,60,Post-consumer,landfillable,Lifecycle component note text,5,6,MJ_per_kg,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,slumping,corrugating,nonwoven,drilling,compression_molding,vacuum_deposition,acid_washing,casting,Additional process note text,Process note text
Crystal Clear,Crystal Clear,Term qualifier text,under review,used for term,commercial,historical,grc,FALSE,Book One,Page 6,258963,Term source note text,omeka,ceramic,glass,wired glass,Description text,packaging; paving,no,Miami-Dade County Department of Cultural Affairs,,1/1/2000,Production note text,Robbins Music Corporation,origin,Hermione Milbourne,origin,Indiana,origin,Work 6,Featured application note text,Book 6,Source detail text,www.test.example,External URL note,CSI,External standard note,Universite libre de Bruxelles,David Cornwell,Term creator note text,1/1/2005,American Alliance of Museums,Rosemarie Langager,Term editor note text,1/1/2007,bar,block,large,length,inches,5,Form note text,sound_absorption_absorbent,Acoustical property note text,fade_resistant,Durability property note text,electrical_resistivity_conductor,Electrical property note text,porosity,Hygro-thermal property note text,tensile_strength,Mechanical property note text,light_diffusing,Optical property note text,taste_bitter,Sensorial property note text,photocatalytic,Smart material property note text,ductile,Additional property note text,Property note text,60,70,Post industrial,recyclable,Lifecycle component note text,6,7,tCO4,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,investment_casting,melting,bonding,grinding,injection_molding,weaving_3d,coating,firing,Additional process note text,Process note text
Oomoo,Oomoo,Term qualifier text,accepted,descriptor,common,both,heb,TRUE,Book Two,Page 7,369852,Term source note text,dpla; omeka,metal,non-ferrous,gold,Description text,paving,yes,Oakland Museum of California,1/1/2003,1/1/2001,Production note text,Admiral Corporation,distributor,Arabella Gainsborough,distributor,Kentucky,distributor,Work 7,Featured application note text,Book 7,Source detail text,www.test.example,External URL note,Granta,External standard note,"Blithewold Mansion, Gardens, and Arboretum",Charles Edouard Jeanneret,Term creator note text,1/1/2006,Morgan Library and Museum,Ingbertine Nicolaysen,Term editor note text,1/1/2008,aggregate,cord,large,width,centimeters,6,Form note text,sound_absorption_reflective,Acoustical property note text,heat_resistant,Durability property note text,electrical_resistivity_semiconductor,Electrical property note text,emissivity,Hygro-thermal property note text,density,Mechanical property note text,light_emitting,Optical property note text,touch_lightweight,Sensorial property note text,photochromatic,Smart material property note text,elastic,Additional property note text,Property note text,70,80,Post-consumer,biodegradable,Lifecycle component note text,7,8,MJ_per_kg,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,floating,aeration,felting,milling,blow_molding,printing,etching,acetylation,Additional process note text,Process note text
Clear Flex,Clear Flex,Term qualifier text,rejected,alternate descriptor,commercial,unknown,ind,FALSE,Book Three,Page 8,258741,Term source note text,cultureobject,metal,non-ferrous,silver,Description text,roofing,no,Seattle University,,1/1/2002,Production note text,Paramount Pictures,manufacturer,Isadora Damon-Cowles,manufacturer,Tennessee,manufacturer,Work 8,Featured application note text,Book 8,Source detail text,www.test.example,External URL note,CSI,External standard note,Jewish Women's Archive,Domeniko Theotokopulos,Term creator note text,1/1/2007,Gemeentemuseum den Haag,Ailiyah Jespersen,Term editor note text,1/1/2009,angle,film,small,length,feet,7,Form note text,sound_absorption_neutral,Acoustical property note text,dimensionally_stable,Durability property note text,electrical_resistivity_insulator,Electrical property note text,water_absorption,Hygro-thermal property note text,compressive_strength,Mechanical property note text,prismatic,Optical property note text,smell_odorous,Sensorial property note text,photovoltaic,Smart material property note text,hydrophilic,Additional property note text,Property note text,80,90,Post industrial,landfillable,Lifecycle component note text,8,9,tCO5,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,slumping,corrugating,nonwoven,drilling,compression_molding,vacuum_deposition,acid_washing,casting,Additional process note text,Process note text
PMC Industrial Rubber,PMC Industrial Rubber,Term qualifier text,provisional,used for term,abbreviation,current,ita,TRUE,Book Four,Page 9,102365,Term source note text,dpla,metal,ferrous,cast iron,Description text,shingling,yes,Statens Museum for Kunst,1/1/2004,1/1/2003,Production note text,Eaves Costume Company,origin,Alexandria Jenkings,origin,California,origin,Work 9,Featured application note text,Book 9,Source detail text,www.test.example,External URL note,Granta,External standard note,Tridentino Museo di Scienze Naturali,Touko Laaksonen,Term creator note text,1/1/2008,Durst Organization,Conni Julson,Term editor note text,1/1/2010,bar,block,medium,width,inches,8,Form note text,sound_absorption_absorbent,Acoustical property note text,fade_resistant,Durability property note text,anti_static,Electrical property note text,porosity,Hygro-thermal property note text,tensile_strength,Mechanical property note text,iridescent,Optical property note text,vision_colorfulness_low,Sensorial property note text,dichroic,Smart material property note text,acoustic,Additional property note text,Property note text,90,100,Post-consumer,recyclable,Lifecycle component note text,9,10,MJ_per_kg,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,investment_casting,melting,bonding,grinding,injection_molding,weaving_3d,acid_washing,firing,Additional process note text,Process note text
Dragon Skin,Dragon Skin,Term qualifier text,under-review,descriptor,commercial,historical,jpn,FALSE,Book Five,Page 10,410258,Term source note text,materialorder,metal,ferrous,iron,Description text,sound-control,no,UC Berkeley Art Museum and Pacific Film Archive,,1/1/2004,Production note text,John Brown Company,distributor,Theodora Rogers,distributor,Oregon,distributor,Work 10,Featured application note text,Book 10,Source detail text,www.test.example,External URL note,CSI,External standard note,San Francisco Museum of Modern Art,Bjørn Nørgaard,Term creator note text,1/1/2009,Princeton University Art Museum,Davina Haugan,Term editor note text,1/1/2011,aggregate,cord,large,length,centimeters,9,Form note text,sound_absorption_reflective,Acoustical property note text,heat_resistant,Durability property note text,electrical_resistivity_conductor,Electrical property note text,emissivity,Hygro-thermal property note text,density,Mechanical property note text,light_diffusing,Optical property note text,taste_bitter,Sensorial property note text,photocatalytic,Smart material property note text,ductile,Additional property note text,Property note text,95,100,Post industrial,biodegradable,Lifecycle component note text,10,11,tCO6,Embodied energy note text,LEED,Certification credit note text,Material ecology note text,floating,aeration,felting,milling,blow_molding,printing,coating,acetylation,Additional process note text,Process note text
